date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:51:35	2196/2196	---M--	200	added ('OK')	image/gif	etag:%22894-55498540c0e34%22	https://www.co-opbank.co.ke/campaigns/sites/all/modules/ctools/images/status-active.gif	C:/My%20Web%20Sites/msme/www.co-opbank.co.ke/campaigns/sites/all/modules/ctools/images/status-active.gif	(from https://www.co-opbank.co.ke/campaigns/sites/all/modules/ctools/css/ctools.css?p29ze5)
16:51:35	3266/3266	---M--	200	added ('OK')	image/png	etag:%22cc2-55498c5a66ab9%22	https://www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/css/images/ui-icons_444444_256x240.png	C:/My%20Web%20Sites/msme/www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/css/images/ui-icons_444444_256x240.png	(from https://www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/css/jquery-ui.css?p29ze5)
16:51:36	3274/3274	---M--	200	added ('OK')	image/png	etag:%22cca-55498c5a66ab9%22	https://www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/css/images/ui-icons_555555_256x240.png	C:/My%20Web%20Sites/msme/www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/css/images/ui-icons_555555_256x240.png	(from https://www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/css/jquery-ui.css?p29ze5)
16:51:37	359/359	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Jan%202018%2013:51:37%20GMT	https://www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/css/images/ui-icons_ffffff_256x240.png	C:/My%20Web%20Sites/msme/www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/css/images/ui-icons_ffffff_256x240.png	(from https://www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/css/jquery-ui.css?p29ze5)
16:51:37	1054774/1054774	---M--	200	added ('OK')	image/png	etag:%22101836-5635be19b9e28%22	https://www.co-opbank.co.ke/campaigns/sites/default/files/styles/slideshow_1440_x_550/public/campaign-banners/Banner.png?itok=cAXdiLam	C:/My%20Web%20Sites/msme/www.co-opbank.co.ke/campaigns/sites/default/files/styles/slideshow_1440_x_550/public/campaign-banners/Banner86aa.png	(from https://www.co-opbank.co.ke/campaigns/micro-small-medium-enterprises)
16:51:38	359/359	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Jan%202018%2013:51:38%20GMT	https://www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/css/images/ui-icons_777620_256x240.png	C:/My%20Web%20Sites/msme/www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/css/images/ui-icons_777620_256x240.png	(from https://www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/css/jquery-ui.css?p29ze5)
16:51:39	359/359	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Jan%202018%2013:51:39%20GMT	https://www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/css/images/ui-icons_cc0000_256x240.png	C:/My%20Web%20Sites/msme/www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/css/images/ui-icons_cc0000_256x240.png	(from https://www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/css/jquery-ui.css?p29ze5)
16:51:40	359/359	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Jan%202018%2013:51:40%20GMT	https://www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/css/images/ui-icons_777777_256x240.png	C:/My%20Web%20Sites/msme/www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/css/images/ui-icons_777777_256x240.png	(from https://www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/css/jquery-ui.css?p29ze5)
16:51:40	638/638	---M--	200	added ('OK')	image/png	etag:%2227e-5549886f75a10%22	https://www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/img/overlay.png	C:/My%20Web%20Sites/msme/www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/img/overlay.png	(from https://www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/css/tradefinance.css)
16:51:40	188/188	---M--	200	added ('OK')	image/png	etag:%22bc-554988675c64d%22	https://www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/img/accordion_closed.png	C:/My%20Web%20Sites/msme/www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/img/accordion_closed.png	(from https://www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/css/tradefinance.css)
16:51:41	300/300	---M--	200	added ('OK')	image/png	etag:%2212c-554988675c64d%22	https://www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/img/accordion_open.png	C:/My%20Web%20Sites/msme/www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/img/accordion_open.png	(from https://www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/css/tradefinance.css)
